,date,avg_temp

80,1980,20.114
81,1981,20.645
82,1982,20.184
83,1983,20.067
84,1984,18.878
85,1985,19.554
86,1986,19.066
87,1987,20.53
88,1988,20.186
89,1989,18.653
90,1990,19.09
91,1991,21.805
92,1992,18.9
93,1993,20.557
94,1994,20.88
95,1995,18.928
96,1996,19.444000000000003
97,1997,18.037
98,1998,20.87
99,1999,20.924
100,2000,18.47
101,2001,20.884
102,2002,20.15
103,2003,20.384
104,2004,20.632
105,2005,20.182
106,2006,20.79
107,2007,20.377
108,2008,20.429
109,2009,20.757
110,2010,21.124
111,2011,21.037
112,2012,19.821
113,2013,21.16
